out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
아메리칸항공,16:20,19:35,"직항, 08시간 15분",아메리칸항공,20:30,08:35,"직항, 07시간 05분",성인/모든 결제수단,"1,191,700"
폴란드항공,10:25,20:35,"경유 1, 15시간 10분",폴란드항공,22:35,17:20,"경유 1, 13시간 45분",성인/모든 결제수단,"1,192,500"
델타항공,17:40,20:40,"직항, 08시간 00분",버진애틀랜틱항공,19:30,10:30,"경유 1, 10시간 00분",성인/모든 결제수단,"1,195,900"
영국항공,18:00,21:15,"직항, 08시간 15분",영국항공,08:05,19:50,"직항, 06시간 45분",성인/모든 결제수단,"1,197,100"
영국항공,19:00,22:10,"직항, 08시간 10분",영국항공,18:50,06:45,"직항, 06시간 55분",성인/모든 결제수단,"1,197,100"
스위스항공,12:05,20:25,"경유 1, 13시간 20분",유나이티드항공,22:00,10:15,"직항, 07시간 15분",성인/모든 결제수단,"1,198,800"
루프트한자,08:00,11:25,"직항, 08시간 25분",루프트한자,23:00,11:05,"직항, 07시간 05분",성인/하나카드,"1,199,500"
아메리칸항공,15:35,18:15,"직항, 07시간 40분",핀에어,08:05,19:50,"직항, 06시간 45분",성인/모든 결제수단,"1,199,800"
핀에어,15:35,18:15,"직항, 07시간 40분",아메리칸항공,20:05,08:00,"직항, 06시간 55분",성인/모든 결제수단,"1,199,800"
아메리칸항공,15:35,18:15,"직항, 07시간 40분",영국항공,19:25,07:10,"직항, 06시간 45분",성인/모든 결제수단,"1,200,100"
영국항공,19:50,23:00,"직항, 08시간 10분",아메리칸항공,18:30,06:25,"직항, 06시간 55분",성인/모든 결제수단,"1,200,100"
유나이티드항공,16:00,19:35,"직항, 08시간 35분",루프트한자,22:00,10:15,"직항, 07시간 15분",성인/모든 결제수단,"1,201,800"
유나이티드항공,18:00,21:35,"직항, 08시간 35분",루프트한자,22:00,10:15,"직항, 07시간 15분",성인/모든 결제수단,"1,201,800"
영국항공,14:00,17:20,"직항, 08시간 20분",영국항공,08:05,19:50,"직항, 06시간 45분",성인/모든 결제수단,"1,202,500"
