가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/롯데카드,"1,369,600"
중국동방항공,08:55 (ICN),09:00 (BCN),"경유 2, 31시간 05분",중국동방항공,15:15 (BCN),20:45 (ICN),"경유 2, 22시간 30분",성인/삼성카드,"1,371,900"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,372,300"
에티하드항공,00:55 (ICN),16:35 (BCN),"경유 2, 46시간 40분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,375,700"
에티하드항공,14:05 (ICN),07:55 (BCN),"경유 2, 24시간 50분",에티하드항공,11:10 (BCN),11:00 (ICN),"경유 2, 40시간 50분",성인/롯데카드,"1,376,500"
중국동방항공,16:20 (ICN),11:40 (BCN),"경유 2, 26시간 20분",중국동방항공,06:20 (BCN),17:25 (ICN),"경유 2, 28시간 05분",성인/삼성카드,"1,377,600"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,21:20 (BCN),11:40 (ICN),"경유 2, 31시간 20분",성인/모든 결제수단,"1,377,800"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/롯데카드,"1,379,700"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,380,200"
에티하드항공,14:05 (ICN),07:55 (BCN),"경유 2, 24시간 50분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/롯데카드,"1,385,400"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,385,700"
에티하드항공,19:20 (ICN),07:55 (BCN),"경유 2, 43시간 35분",에티하드항공,07:50 (BCN),22:40 (ICN),"경유 2, 31시간 50분",성인/롯데카드,"1,387,600"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/롯데카드,"1,388,800"
