out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"436,000"
알리탈리아항공,11:55,14:10,"직항, 02시간 15분",알리탈리아항공,07:00,11:00,"경유 1, 04시간 00분",성인/모든 결제수단,"444,500"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",스위스항공,06:15,18:30,"경유 1, 12시간 15분",성인/모든 결제수단,"446,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"448,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"449,400"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"461,300"
알리탈리아항공,17:55,20:10,"직항, 02시간 15분",알리탈리아항공,07:00,11:00,"경유 1, 04시간 00분",성인/모든 결제수단,"466,400"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"469,383"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",스위스항공,06:15,18:30,"경유 1, 12시간 15분",성인/모든 결제수단,"470,000"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",루프트한자,08:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"472,000"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"472,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",스위스항공,15:05,19:15,"경유 1, 04시간 10분",성인/모든 결제수단,"474,100"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"474,600"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"475,300"
알리탈리아항공,11:50,16:10,"경유 1, 04시간 20분",알리탈리아항공,14:35,17:05,"직항, 02시간 30분",성인/모든 결제수단,"475,900"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"476,100"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",오스트리아항공,08:55,19:15,"경유 1, 10시간 20분",성인/모든 결제수단,"476,800"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",오스트리아항공,21:30,19:15,"경유 1, 21시간 45분",성인/모든 결제수단,"478,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,15:50,08:10,"경유 1, 16시간 20분",성인/모든 결제수단,"484,000"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,08:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"487,200"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"487,400"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"487,800"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",스위스항공,09:40,14:10,"경유 1, 04시간 30분",성인/모든 결제수단,"493,286"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/KB국민카드(이용실적 충족시),"494,900"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"498,200"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",에어프랑스,20:15,10:40,"경유 1, 14시간 25분",성인/모든 결제수단,"499,100"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,07:00,13:50,"경유 1, 06시간 50분",성인/모든 결제수단,"499,640"
에어프랑스,18:40,19:15,"경유 1, 24시간 35분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"500,600"
루프트한자,11:15,21:00,"경유 1, 09시간 45분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"503,400"
오스트리아항공,17:40,08:10,"경유 1, 14시간 30분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"503,700"
오스트리아항공,17:40,08:10,"경유 1, 14시간 30분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"504,000"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",오스트리아항공,08:55,19:15,"경유 1, 10시간 20분",성인/모든 결제수단,"504,600"
"루프트한자, 에어돌로미티",19:30,23:35,"경유 1, 04시간 05분","루프트한자, 에어돌로미티",19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"508,400"
루프트한자,08:00,23:35,"경유 1, 15시간 35분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"509,900"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",루프트한자,15:50,08:10,"경유 1, 16시간 20분",성인/모든 결제수단,"510,100"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",오스트리아항공,08:55,16:50,"경유 1, 07시간 55분",성인/KB국민카드(이용실적 충족시),"510,500"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",에어프랑스,06:00,11:30,"경유 1, 05시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"510,700"
루프트한자,11:15,21:00,"경유 1, 09시간 45분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"514,400"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"514,800"
오스트리아항공,17:40,08:10,"경유 1, 14시간 30분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"515,000"
에어프랑스,18:40,19:15,"경유 1, 24시간 35분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"515,200"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",오스트리아항공,08:55,19:15,"경유 1, 10시간 20분",성인/모든 결제수단,"515,400"
에어프랑스,18:40,19:15,"경유 1, 24시간 35분",에어프랑스,20:15,10:40,"경유 1, 14시간 25분",성인/모든 결제수단,"518,700"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",에어프랑스,20:15,09:40,"경유 1, 13시간 25분",성인/모든 결제수단,"520,900"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",에어프랑스,20:15,13:40,"경유 1, 17시간 25분",성인/모든 결제수단,"522,800"
루프트한자,11:15,18:15,"경유 1, 07시간 00분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"528,995"
루프트한자,11:15,21:00,"경유 1, 09시간 45분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"529,600"
에어프랑스,14:35,19:15,"경유 1, 04시간 40분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/KB국민카드(이용실적 충족시),"529,700"
루프트한자,11:15,21:00,"경유 1, 09시간 45분",오스트리아항공,08:55,19:15,"경유 1, 10시간 20분",성인/모든 결제수단,"530,200"
오스트리아항공,17:40,08:10,"경유 1, 14시간 30분",오스트리아항공,08:55,19:15,"경유 1, 10시간 20분",성인/모든 결제수단,"530,800"
"루프트한자, 에어돌로미티",19:30,23:35,"경유 1, 04시간 05분","루프트한자, 에어돌로미티",15:50,08:10,"경유 1, 16시간 20분",성인/모든 결제수단,"531,100"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,10:50,16:25,"경유 1, 05시간 35분",성인/KB국민카드(이용실적 충족시),"532,900"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,07:00,13:50,"경유 1, 06시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"534,500"
오스트리아항공,07:00,08:10,"경유 1, 25시간 10분",오스트리아항공,08:55,16:50,"경유 1, 07시간 55분",성인/모든 결제수단,"535,200"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",오스트리아항공,08:55,16:50,"경유 1, 07시간 55분",성인/모든 결제수단,"535,600"
에어프랑스,10:35,17:30,"경유 1, 06시간 55분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"537,000"
루프트한자,17:05,21:00,"경유 1, 03시간 55분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"537,719"
에어프랑스,14:35,19:15,"경유 1, 04시간 40분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/KB국민카드(이용실적 충족시),"537,800"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",루프트한자,12:55,21:40,"경유 1, 08시간 45분",성인/모든 결제수단,"539,900"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",에어프랑스,06:00,11:30,"경유 1, 05시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"540,700"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",스위스항공,06:15,14:10,"경유 1, 07시간 55분",성인/KB국민카드(이용실적 충족시),"541,500"
KLM네덜란드항공,11:40,16:30,"경유 1, 04시간 50분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"543,800"
에어프랑스,14:05,19:15,"경유 1, 05시간 10분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"544,000"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,15:50,21:40,"경유 1, 05시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"547,000"
루프트한자,18:20,23:35,"경유 1, 05시간 15분",오스트리아항공,08:55,16:50,"경유 1, 07시간 55분",성인/모든 결제수단,"549,000"
에어프랑스,14:05,19:15,"경유 1, 05시간 10분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"552,500"
에어프랑스,16:50,22:15,"경유 1, 05시간 25분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"552,900"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,14:50,22:15,"경유 1, 07시간 25분",성인/KB국민카드(이용실적 충족시),"553,900"
루프트한자,18:20,23:35,"경유 1, 05시간 15분",스위스항공,09:40,14:10,"경유 1, 04시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"556,400"
스위스항공,09:50,14:15,"경유 1, 04시간 25분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"557,537"
루프트한자,14:40,18:30,"경유 1, 03시간 50분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"559,252"
오스트리아항공,20:05,08:10,"경유 1, 12시간 05분",루프트한자,15:50,20:25,"경유 1, 04시간 35분",성인/모든 결제수단,"559,400"
에어프랑스,10:35,17:30,"경유 1, 06시간 55분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/모든 결제수단,"562,400"
에어프랑스,11:35,16:10,"경유 1, 04시간 35분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"564,800"
에어프랑스,14:35,19:15,"경유 1, 04시간 40분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/KB국민카드(이용실적 충족시),"565,100"
에어프랑스,08:05,16:10,"경유 1, 08시간 05분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/모든 결제수단,"565,200"
에어프랑스,10:35,17:30,"경유 1, 06시간 55분",에어프랑스,06:00,11:30,"경유 1, 05시간 30분",성인/모든 결제수단,"566,700"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",스위스항공,06:15,14:10,"경유 1, 07시간 55분",성인/모든 결제수단,"569,300"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",스위스항공,15:05,19:15,"경유 1, 04시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"571,000"
에어프랑스,15:45,22:15,"경유 1, 06시간 30분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"574,800"
에어프랑스,11:35,16:10,"경유 1, 04시간 35분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"577,900"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,08:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"578,300"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"581,300"
에어프랑스,14:05,19:15,"경유 1, 05시간 10분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"582,100"
