out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
대한항공,13:00,22:30,"경유 1, 18시간 30분",델타항공,14:15,22:22,"경유 2, 23시간 07분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,912,500"
델타항공,13:00,22:30,"경유 1, 18시간 30분",대한항공,14:15,22:12,"경유 2, 22시간 57분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,913,800"
대한항공,13:00,22:30,"경유 1, 18시간 30분",대한항공,14:15,22:12,"경유 2, 22시간 57분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,915,100"
유나이티드항공,16:25,16:45,"경유 1, 33시간 20분",ANA,14:45,14:25,"경유 1, 14시간 40분",성인/KB국민카드(이용실적 충족시),"1,970,400"
델타항공,13:00,22:30,"경유 1, 18시간 30분",델타항공,00:45,13:50,"경유 1, 28시간 05분",성인/모든 결제수단,"1,980,700"
델타항공,13:00,22:30,"경유 1, 18시간 30분",대한항공,00:45,10:40,"경유 1, 24시간 55분",성인/모든 결제수단,"1,982,000"
대한항공,13:00,22:30,"경유 1, 18시간 30분",대한항공,00:45,13:50,"경유 1, 28시간 05분",성인/모든 결제수단,"1,983,300"
델타항공,13:00,22:30,"경유 1, 18시간 30분",델타항공,12:20,22:22,"경유 2, 25시간 02분",성인/모든 결제수단,"1,988,300"
대한항공,13:00,22:30,"경유 1, 18시간 30분",델타항공,12:20,22:22,"경유 2, 25시간 02분",성인/모든 결제수단,"1,989,600"
델타항공,13:00,10:55,"경유 1, 30시간 55분",대한항공,14:15,22:12,"경유 2, 22시간 57분",성인/모든 결제수단,"1,990,900"
대한항공,13:00,10:55,"경유 1, 30시간 55분",대한항공,14:15,22:12,"경유 2, 22시간 57분",성인/모든 결제수단,"1,992,200"
"델타항공, 대한항공",13:00,22:30,"경유 1, 18시간 30분","델타항공, 대한항공",12:20,13:50,"경유 1, 16시간 30분",성인/모든 결제수단,"1,993,600"
"델타항공, 대한항공",13:00,22:30,"경유 1, 18시간 30분","아시아나항공, 델타항공",13:05,13:50,"경유 1, 15시간 45분",성인/모든 결제수단,"1,994,900"
대한항공,13:00,10:55,"경유 1, 30시간 55분","아시아나항공, 델타항공",13:05,13:50,"경유 1, 15시간 45분",성인/모든 결제수단,"1,996,200"
"델타항공, 대한항공",13:00,22:30,"경유 1, 18시간 30분","델타항공, 대한항공",14:15,20:25,"경유 2, 21시간 10분",성인/모든 결제수단,"2,003,800"
대한항공,13:00,22:30,"경유 1, 18시간 30분",대한항공,14:15,21:52,"경유 2, 22시간 37분",성인/모든 결제수단,"2,005,100"
ANA,13:10,12:30,"경유 2, 32시간 20분",유나이티드항공,18:55,13:15,"경유 1, 33시간 20분",성인/모든 결제수단,"2,013,200"
