out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
유나이티드항공,09:50,10:35,"직항, 00시간 45분",유나이티드항공,08:00,08:45,"직항, 00시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"736,200"
제주항공,04:45,02:00,"경유 1, 21시간 15분",유나이티드항공,08:00,08:45,"직항, 00시간 45분",성인/모든 결제수단,"1,411,600"
제주항공,04:45,16:05,"경유 1, 11시간 20분",유나이티드항공,08:00,08:45,"직항, 00시간 45분",성인/모든 결제수단,"1,450,800"
제주항공,16:10,16:05,"경유 1, 23시간 55분",유나이티드항공,08:00,08:45,"직항, 00시간 45분",성인/모든 결제수단,"1,518,200"
