out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
LOT폴란드항공,07:20,06:20,"경유 1, 16시간 00분",LOT폴란드항공,11:20,09:40,"경유 1, 29시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,272,200"
중국국제항공,20:00,16:35,"경유 1, 13시간 35분",중국국제항공,14:55,06:20,"경유 1, 22시간 25분",성인/모든 결제수단,"1,274,200"
"KLM네덜란드항공, 에어프랑스",19:20,08:40,"경유 2, 30시간 20분","KLM네덜란드항공, 에어프랑스",10:50,13:35,"경유 2, 33시간 45분",성인/KB국민카드(이용실적 충족시),"1,275,200"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",KLM네덜란드항공,23:05,09:35,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"1,277,800"
"KLM네덜란드항공, 에어프랑스",19:20,16:25,"경유 1, 14시간 05분","KLM네덜란드항공, 에어프랑스",10:50,13:35,"경유 2, 33시간 45분",성인/KB국민카드(이용실적 충족시),"1,279,000"
중국국제항공,13:55,11:35,"경유 1, 14시간 40분",중국국제항공,14:40,19:00,"경유 1, 35시간 20분",성인/KB국민카드(이용실적 충족시),"1,280,600"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/모든 결제수단,"1,282,300"
"LOT폴란드항공, 루프트한자",10:25,09:30,"경유 1, 16시간 05분","LOT폴란드항공, 루프트한자",08:15,20:35,"경유 1, 19시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,284,200"
KLM네덜란드항공,14:15,08:40,"경유 2, 35시간 25분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/모든 결제수단,"1,287,300"
KLM네덜란드항공,14:15,08:40,"경유 2, 35시간 25분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/모든 결제수단,"1,289,200"
LOT폴란드항공,07:20,06:20,"경유 1, 16시간 00분",LOT폴란드항공,08:15,09:40,"경유 2, 32시간 25분",성인/모든 결제수단,"1,290,500"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",KLM네덜란드항공,23:05,09:35,"경유 1, 17시간 30분",성인/모든 결제수단,"1,290,900"
에어프랑스,12:05,08:40,"경유 1, 37시간 35분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,292,400"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,297,400"
"루프트한자, LOT폴란드항공",22:10,09:30,"경유 1, 28시간 20분","루프트한자, LOT폴란드항공",08:15,20:35,"경유 1, 19시간 20분",성인/모든 결제수단,"1,299,100"
"LOT폴란드항공, 루프트한자",07:20,09:30,"경유 2, 43시간 10분","LOT폴란드항공, 루프트한자",08:15,20:35,"경유 1, 19시간 20분",성인/모든 결제수단,"1,299,900"
"루프트한자, 사우디아항공",18:00,14:40,"경유 2, 37시간 40분",베트남항공,18:05,06:00,"경유 1, 18시간 55분",성인/모든 결제수단,"1,301,724"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",KLM네덜란드항공,23:05,09:35,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"1,302,400"
KLM네덜란드항공,11:45,08:40,"경유 2, 37시간 55분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/모든 결제수단,"1,302,700"
LOT폴란드항공,07:20,06:20,"경유 1, 16시간 00분",LOT폴란드항공,11:20,08:15,"경유 1, 27시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,303,700"
중국국제항공,14:15,12:55,"경유 1, 15시간 40분",중국동방항공,12:55,06:05,"경유 1, 24시간 10분",성인/모든 결제수단,"1,304,371"
KLM네덜란드항공,11:45,08:40,"경유 2, 37시간 55분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/모든 결제수단,"1,304,600"
핀에어,11:30,11:20,"경유 1, 16시간 50분",핀에어,21:40,09:20,"경유 1, 18시간 40분",성인/모든 결제수단,"1,305,100"
KLM네덜란드항공,17:55,08:40,"경유 2, 31시간 45분",KLM네덜란드항공,23:05,09:35,"경유 1, 17시간 30분",성인/모든 결제수단,"1,306,300"
"KLM네덜란드항공, 에어프랑스",19:20,08:40,"경유 2, 30시간 20분","KLM네덜란드항공, 에어프랑스",10:50,22:05,"경유 1, 18시간 15분",성인/모든 결제수단,"1,312,900"
"KLM네덜란드항공, 에어프랑스",19:20,08:40,"경유 2, 30시간 20분","KLM네덜란드항공, 에어프랑스",10:50,09:00,"경유 1, 29시간 10분",성인/모든 결제수단,"1,314,800"
KLM네덜란드항공,14:15,16:25,"경유 1, 19시간 10분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/모든 결제수단,"1,316,600"
KLM네덜란드항공,19:20,16:25,"경유 1, 14시간 05분",KLM네덜란드항공,23:05,09:35,"경유 1, 17시간 30분",성인/모든 결제수단,"1,317,000"
KLM네덜란드항공,19:20,16:25,"경유 1, 14시간 05분",에어프랑스,10:50,11:25,"경유 1, 31시간 35분",성인/모든 결제수단,"1,318,900"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,319,000"
LOT폴란드항공,10:25,09:30,"경유 1, 16시간 05분",LOT폴란드항공,11:20,22:40,"경유 1, 18시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,319,900"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",에어프랑스,10:50,19:15,"경유 1, 39시간 25분",성인/모든 결제수단,"1,322,800"
"에어프랑스, KLM네덜란드항공",12:05,08:40,"경유 1, 37시간 35분","에어프랑스, KLM네덜란드항공",10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,323,000"
KLM네덜란드항공,11:45,16:25,"경유 1, 21시간 40분",에어프랑스,10:50,11:25,"경유 1, 31시간 35분",성인/모든 결제수단,"1,323,500"
KLM네덜란드항공,14:15,08:40,"경유 2, 35시간 25분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,324,000"
"루프트한자, 사우디아항공",16:00,14:40,"경유 2, 39시간 40분",베트남항공,18:05,06:00,"경유 1, 18시간 55분",성인/모든 결제수단,"1,329,897"
"KLM네덜란드항공, 에어프랑스",19:20,08:40,"경유 2, 30시간 20분","KLM네덜란드항공, 에어프랑스",23:05,09:35,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"1,330,500"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",KLM네덜란드항공,23:05,13:35,"경유 1, 21시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,332,600"
"루프트한자, 사우디아항공",18:00,14:40,"경유 2, 37시간 40분",중국동방항공,12:55,06:05,"경유 1, 24시간 10분",성인/모든 결제수단,"1,335,145"
에어프랑스,07:05,08:40,"경유 1, 18시간 35분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/모든 결제수단,"1,335,800"
에어프랑스,07:05,08:40,"경유 1, 18시간 35분",에어프랑스,10:50,11:25,"경유 1, 31시간 35분",성인/신한카드,"1,336,200"
중국국제항공,13:55,11:35,"경유 1, 14시간 40분",중국국제항공,14:40,18:00,"경유 1, 34시간 20분",성인/모든 결제수단,"1,339,000"
KLM네덜란드항공,11:45,08:40,"경유 2, 37시간 55분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,339,400"
KLM네덜란드항공,11:45,16:40,"경유 1, 21시간 55분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,340,000"
LOT폴란드항공,07:20,09:30,"경유 2, 43시간 10분",LOT폴란드항공,11:20,22:40,"경유 1, 18시간 20분",성인/모든 결제수단,"1,341,500"
KLM네덜란드항공,10:15,16:25,"경유 1, 23시간 10분",KLM네덜란드항공,23:05,17:45,"경유 1, 25시간 40분",성인/모든 결제수단,"1,341,966"
"루프트한자, 아시아나항공",08:15,09:55,"경유 1, 18시간 40분","루프트한자, 아시아나항공",08:20,19:00,"경유 1, 17시간 40분",성인/모든 결제수단,"1,348,700"
LOT폴란드항공,07:20,06:20,"경유 1, 16시간 00분",LOT폴란드항공,11:20,11:30,"경유 1, 31시간 10분",성인/신한카드,"1,349,000"
"KLM네덜란드항공, 에어프랑스",19:20,08:40,"경유 2, 30시간 20분","KLM네덜란드항공, 에어프랑스",10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,349,600"
"루프트한자, 중국동방항공",22:10,11:55,"경유 2, 30시간 45분",중국남방항공,16:45,06:10,"경유 1, 20시간 25분",성인/모든 결제수단,"1,350,027"
"루프트한자, 아시아나항공",08:15,09:55,"경유 1, 18시간 40분","루프트한자, 아시아나항공",21:10,19:05,"경유 1, 28시간 55분",성인/모든 결제수단,"1,351,100"
KLM네덜란드항공,14:15,16:25,"경유 1, 19시간 10분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/모든 결제수단,"1,353,700"
루프트한자,08:15,09:55,"경유 1, 18시간 40분",루프트한자,12:25,18:40,"직항, 13시간 15분",성인/모든 결제수단,"1,354,135"
"중국동방항공, 상하이항공",14:30,11:55,"경유 1, 14시간 25분","중국동방항공, 상하이항공",18:25,06:05,"경유 1, 18시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,354,400"
"루프트한자, 아시아나항공",21:15,09:55,"경유 1, 29시간 40분","루프트한자, 아시아나항공",08:20,19:00,"경유 1, 17시간 40분",성인/모든 결제수단,"1,360,300"
루프트한자,12:15,09:55,"경유 1, 14시간 40분",스위스항공,09:55,20:10,"경유 1, 17시간 15분",성인/모든 결제수단,"1,362,088"
"루프트한자, 사우디아항공",21:30,14:40,"경유 2, 34시간 10분",중국동방항공,12:55,06:05,"경유 1, 24시간 10분",성인/모든 결제수단,"1,363,515"
LOT폴란드항공,07:20,09:30,"경유 2, 43시간 10분",LOT폴란드항공,08:15,22:40,"경유 2, 21시간 25분",성인/모든 결제수단,"1,365,200"
에어프랑스,07:05,08:40,"경유 1, 18시간 35분",KLM네덜란드항공,23:05,11:00,"경유 1, 18시간 55분",성인/모든 결제수단,"1,368,400"
"LOT폴란드항공, 루프트한자",07:20,06:20,"경유 1, 16시간 00분","LOT폴란드항공, 루프트한자",11:20,08:15,"경유 1, 27시간 55분",성인/신한카드,"1,369,400"
"루프트한자, LOT폴란드항공",22:10,09:30,"경유 1, 28시간 20분","루프트한자, LOT폴란드항공",11:20,22:40,"경유 1, 18시간 20분",성인/모든 결제수단,"1,369,700"
중국동방항공,14:30,13:15,"경유 2, 39시간 45분",중국동방항공,16:35,06:05,"경유 2, 20시간 30분",성인/모든 결제수단,"1,372,100"
LOT폴란드항공,10:25,09:30,"경유 1, 16시간 05분",LOT폴란드항공,11:20,09:40,"경유 1, 29시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,374,600"
중국국제항공,14:15,12:55,"경유 1, 15시간 40분",중국국제항공,14:40,19:00,"경유 1, 35시간 20분",성인/KB국민카드(이용실적 충족시),"1,377,100"
"KLM네덜란드항공, 사우디아항공",11:45,14:40,"경유 3, 43시간 55분",베트남항공,18:05,06:00,"경유 1, 18시간 55분",성인/모든 결제수단,"1,378,984"
