0,1,2
이스타항공,"18:45KIX
20:55ICN
직항, 02시간 10분","성인/KB국민카드
왕복 349,200원~"
에어부산,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/KB국민카드
왕복 350,400원~"
에어서울,"18:30KIX
20:20ICN
직항, 01시간 50분","성인/신한카드
할인
특가확인
왕복 350,700원~"
이스타항공,"07:15ICN
09:05KIX
직항, 01시간 50분","성인/신한카드
할인
특가확인
왕복 350,700원~"
에어서울,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/삼성 iD NOMAD 카드
왕복 352,050원~"
에어서울,"13:15ICN
15:15KIX
직항, 02시간 00분","성인/삼성 iD NOMAD 카드
왕복 352,050원~"
이스타항공,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 352,600원~"
티웨이항공,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/삼성카드
할인
특가확인
왕복 352,620원~"
이스타항공,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/삼성카드
할인
특가확인
왕복 353,100원~"
이스타항공,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/삼성카드
할인
특가확인
왕복 353,100원~"
제주항공,"18:45KIX
20:55ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 353,250원~"
에어부산,"09:10ICN
11:00KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 353,400원~"
제주항공,"11:50KIX
13:50ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 355,000원~"
제주항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)
왕복 356,700원~"
티웨이항공,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 357,300원~"
에어부산,"07:55ICN
09:40KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 358,400원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 358,400원~"
제주항공,"19:20ICN
21:05KIX
직항, 01시간 45분","성인/삼성카드
왕복 358,610원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 359,000원~"
에어서울,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 359,500원~"
에어부산,"16:15KIX
18:25ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 359,500원~"
에어서울,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/신한카드
할인
특가확인
왕복 359,600원~"
티웨이항공,"19:00KIX
21:00ICN
직항, 02시간 00분","성인/신한카드
할인
특가확인
왕복 359,600원~"
이스타항공,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/KB국민카드
왕복 360,200원~"
티웨이항공,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/삼성 iD NOMAD 카드
왕복 360,200원~"
에어부산,"15:40ICN
17:30KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 360,250원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/신한카드
할인
특가확인
왕복 360,300원~"
진에어,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/신한카드
할인
특가확인
왕복 360,300원~"
