항공,출발 시간,도착 시간,소요 시간,카드사,가격
하와이안항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,578,600"
"아시아나항공, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,579,600"
"ANA, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,580,000"
아시아나항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,589,200"
하와이안항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,593,500"
아시아나항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,604,100"
대한항공,13:20,11:00,"경유 2, 26시간 40분",성인/신한카드,"2,606,900"
"아시아나항공, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,614,300"
대한항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,618,200"
"ANA, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,628,000"
대한항공,21:20,17:35,"경유 2, 49시간 15분",성인/KB국민카드(이용실적 충족시),"2,633,100"
"아시아나항공, 하와이안항공",12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"2,636,000"
"아시아나항공, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"2,636,100"
"아시아나항공, 하와이안항공",12:45,05:00,"경유 1, 21시간 15분",성인/모든 결제수단,"2,639,700"
"아시아나항공, 하와이안항공",12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"2,648,800"
"아시아나항공, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,662,400"
"아시아나항공, 하와이안항공",16:05,22:05,"경유 1, 35시간 00분",성인/모든 결제수단,"2,674,700"
대한항공,14:20,11:00,"경유 1, 25시간 40분",성인/모든 결제수단,"2,723,900"
유나이티드항공,14:20,11:00,"경유 1, 25시간 40분",성인/모든 결제수단,"2,734,000"
"아시아나항공, 하와이안항공",20:50,16:30,"경유 1, 24시간 40분",성인/모든 결제수단,"2,736,000"
델타항공,12:35,17:45,"직항, 10시간 10분",성인/롯데카드,"2,740,400"
"아시아나항공, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,748,500"
"아시아나항공, 하와이안항공",15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"2,755,300"
하와이안항공,23:05,17:50,"경유 1, 23시간 45분",성인/KB국민카드(이용실적 충족시),"2,760,900"
아시아나항공,23:05,17:50,"경유 1, 23시간 45분",성인/KB국민카드(이용실적 충족시),"2,771,500"
대한항공,23:05,17:50,"경유 1, 23시간 45분",성인/KB국민카드(이용실적 충족시),"2,800,500"
대한항공,15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"2,824,400"
유나이티드항공,15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"2,834,500"
"아시아나항공, 하와이안항공",16:05,16:30,"경유 1, 29시간 25분",성인/모든 결제수단,"2,844,800"
"아시아나항공, 알래스카항공",23:30,15:00,"경유 1, 20시간 30분",성인/모든 결제수단,"2,851,700"
"아시아나항공, 알래스카항공",23:30,04:20,"경유 1, 33시간 50분",성인/모든 결제수단,"2,875,800"
"하와이안항공, 아시아나항공",15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"2,914,900"
"아시아나항공, 하와이안항공",12:40,04:10,"경유 1, 20시간 30분",성인/롯데 Trip to 로카 카드,"2,922,000"
대한항공,15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"2,943,600"
유나이티드항공,15:50,04:10,"경유 1, 17시간 20분",성인/모든 결제수단,"2,953,700"
"아시아나항공, 알래스카항공",12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"2,961,600"
"아시아나항공, 알래스카항공",12:35,17:45,"직항, 10시간 10분",성인/모든 결제수단,"2,974,400"
"아시아나항공, 하와이안항공",11:35,18:35,"경유 1, 12시간 00분",성인/삼성카드,"2,981,200"
"아시아나항공, 하와이안항공",14:20,14:25,"경유 1, 29시간 05분",성인/삼성카드,"2,990,700"
