항공,출발 시간,도착 시간,소요 시간,카드사,가격
"하와이안항공, 대한항공",21:20,17:50,"경유 1, 25시간 30분",성인/롯데카드,"7,552,600"
아시아나항공,21:20,17:50,"경유 1, 25시간 30분",성인/NH채움카드,"7,564,400"
"하와이안항공, 대한항공",13:00,04:30,"경유 1, 20시간 30분",성인/롯데카드,"7,752,300"
아시아나항공,13:00,04:30,"경유 1, 20시간 30분",성인/NH채움카드,"7,764,100"
"하와이안항공, 대한항공",22:30,04:50,"경유 1, 35시간 20분",성인/KB국민카드(이용실적 충족시),"7,798,900"
"대한항공, 하와이안항공",13:00,04:30,"경유 1, 20시간 30분",성인/KB국민카드,"7,815,400"
"대한항공, 하와이안항공",13:00,17:20,"경유 1, 33시간 20분",성인/KB국민카드,"7,838,000"
"하와이안항공, 대한항공",08:00,04:50,"경유 1, 25시간 50분",성인/KB국민카드(이용실적 충족시),"7,950,300"
아시아나항공,08:00,04:50,"경유 1, 25시간 50분",성인/KB국민카드(이용실적 충족시),"7,960,900"
"대한항공, 하와이안항공",13:35,16:40,"경유 1, 32시간 05분",성인/KB국민카드,"8,125,300"
아시아나항공,22:00,17:50,"경유 1, 24시간 50분",성인/모든 결제수단,"8,235,371"
