0,1,2
제주항공,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/KB국민카드
왕복 298,200원~"
제주항공,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/모든 결제수단
왕복 326,500원~"
제주항공,"20:30PUS
15:40KIX
+1일
경유 1, 19시간 10분","성인/모든 결제수단
왕복 330,200원~"
제주항공,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/Mile1 하나카드
왕복 330,500원~"
에어부산,"21:40PUS
15:40KIX
+1일
경유 1, 18시간 00분","성인/모든 결제수단
왕복 335,800원~"
에어부산,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/모든 결제수단
왕복 336,400원~"
제주항공,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/롯데카드
왕복 340,200원~"
에어부산,"11:00KIX
12:25PUS
직항, 01시간 25분","성인/KB국민카드
왕복 344,900원~"
진에어,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/롯데카드
왕복 349,850원~"
제주항공,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/Mile1 하나카드
왕복 352,800원~"
제주항공,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/롯데카드
왕복 353,200원~"
티웨이항공,"11:00KIX
12:25PUS
직항, 01시간 25분","성인/Mile1 하나카드
왕복 357,200원~"
제주항공,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/신한카드
할인
특가확인
왕복 359,400원~"
에어부산,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/모든 결제수단
왕복 361,900원~"
에어부산,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/모든 결제수단
왕복 362,380원~"
제주항공,"19:00KIX
20:30PUS
직항, 01시간 30분","성인/KB국민카드
왕복 362,400원~"
제주항공,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/Mile1 하나카드
왕복 367,900원~"
에어부산,"18:55KIX
20:30PUS
직항, 01시간 35분","성인/KB국민카드
왕복 370,500원~"
진에어,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/모든 결제수단
왕복 371,100원~"
제주항공,"14:00KIX
15:30PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 371,800원~"
에어부산,"20:20PUS
11:50KIX
+1일
경유 1, 15시간 30분","성인/롯데카드
왕복 372,700원~"
에어부산,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/모든 결제수단
왕복 377,400원~"
티웨이항공,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/모든 결제수단
왕복 379,600원~"
제주항공,"18:55KIX
20:25PUS
직항, 01시간 30분","성인/롯데 Trip to 로카 카드
왕복 384,200원~"
진에어,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/Mile1 하나카드
왕복 388,050원~"
진에어,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/Mile1 하나카드
왕복 390,200원~"
에어부산,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/Mile1 하나카드
왕복 391,950원~"
제주항공,"14:00KIX
15:30PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 394,100원~"
에어부산,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/Mile1 하나카드
왕복 394,600원~"
아시아나항공,"18:55KIX
20:30PUS
직항, 01시간 35분","성인/현대 M2/M3 Edition2(이용실적 충족시)
왕복 395,600원~"
에어부산,"16:45PUS
18:10KIX
직항, 01시간 25분","성인/KB국민카드(이용실적 충족시)
왕복 398,000원~"
에어부산,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/Mile1 하나카드
왕복 398,000원~"
제주항공,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/Mile1 하나카드
왕복 398,500원~"
에어부산,"11:00KIX
12:25PUS
직항, 01시간 25분","성인/KB국민카드(이용실적 충족시)
왕복 398,900원~"
진에어,"08:20PUS
09:45KIX
직항, 01시간 25분","성인/신한카드
왕복 402,000원~"
에어부산,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/신한카드
할인
특가확인
왕복 406,700원~"
제주항공,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/Mile1 하나카드
왕복 407,600원~"
대한항공,"18:55KIX
20:25PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 409,200원~"
진에어,"20:20PUS
09:40KIX
+1일
경유 1, 13시간 20분","성인/Mile1 하나카드
왕복 412,900원~"
티웨이항공,"11:00KIX
12:25PUS
직항, 01시간 25분","성인/롯데카드
왕복 414,000원~"
진에어,"10:20PUS
17:45KIX
경유 1, 07시간 25분","성인/삼성 iD NOMAD 카드
왕복 414,400원~"
에어부산,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/롯데카드
왕복 415,700원~"
아시아나항공,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/KB국민카드
왕복 417,100원~"
티웨이항공,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/Mile1 하나카드
왕복 418,150원~"
아시아나항공,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/롯데카드
왕복 420,000원~"
에어부산,"19:00KIX
20:30PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 420,300원~"
진에어,"21:15PUS
18:25KIX
+1일
경유 1, 21시간 10분","성인/KB국민카드(이용실적 충족시)
왕복 421,000원~"
에어부산,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/KB국민카드(이용실적 충족시)
왕복 421,000원~"
대한항공,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/Mile1 하나카드
왕복 424,000원~"
대한항공,"18:55KIX
20:30PUS
직항, 01시간 35분","성인/Mile1 하나카드
왕복 424,700원~"
아시아나항공,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/롯데카드
왕복 427,050원~"
에어부산,"14:00KIX
15:30PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 429,350원~"
아시아나항공,"20:20PUS
09:40KIX
+1일
경유 1, 13시간 20분","성인/Mile1 하나카드
왕복 429,900원~"
에어부산,"18:55KIX
20:30PUS
직항, 01시간 35분","성인/Mile1 하나카드
왕복 431,500원~"
아시아나항공,"20:20PUS
09:40KIX
+1일
경유 1, 13시간 20분","성인/모든 결제수단
왕복 433,900원~"
제주항공,"14:00KIX
15:30PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 434,300원~"
대한항공,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/모든 결제수단
왕복 434,600원~"
진에어,"18:55KIX
20:25PUS
직항, 01시간 30분","성인/KB국민카드
왕복 434,700원~"
제주항공,"21:15PUS
15:15KIX
+1일
경유 1, 18시간 00분","성인/Mile1 하나카드
왕복 435,900원~"
제주항공,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/KB국민카드(이용실적 충족시)
왕복 438,300원~"
에어부산,"15:05PUS
16:20KIX
직항, 01시간 15분","성인/삼성 iD NOMAD 카드
왕복 441,100원~"
아시아나항공,"17:20KIX
18:45PUS
직항, 01시간 25분","성인/롯데 Trip to 로카 카드
왕복 442,400원~"
에어부산,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/KB국민카드(이용실적 충족시)
왕복 442,400원~"
아시아나항공,"11:00KIX
12:25PUS
직항, 01시간 25분","성인/삼성카드
왕복 444,100원~"
진에어,"20:20PUS
09:40KIX
+1일
경유 1, 13시간 20분","성인/삼성 iD NOMAD 카드
왕복 446,100원~"
에어부산,"18:55KIX
20:25PUS
직항, 01시간 30분","성인/Mile1 하나카드
왕복 446,900원~"
티웨이항공,"16:30PUS
17:55KIX
직항, 01시간 25분","성인/Mile1 하나카드
왕복 447,800원~"
대한항공,"10:35KIX
12:10PUS
직항, 01시간 35분","성인/현대 M2/M3 Edition2(이용실적 충족시)
왕복 449,700원~"
